crawler date,address,postal_code,url,bedrooms,bathrooms,area,latitude,longitude,price
2019-07-23,"144 Quail Hollow Dr # 144, San Jose ,CA ",95128,https://www.zillow.com/homedetails/144-Quail-Hollow-Dr-144-San-Jose-CA-95128/2083427129_zpid/,2,2,1056,37.298718,-121.935849,245900
2019-07-23,"2557 Booksin Ave, San Jose ,CA ",95125,https://www.zillow.com/homedetails/2557-Booksin-Ave-San-Jose-CA-95125/19693042_zpid/,4,2,1783,37.277679,-121.899601,1399000
2019-07-23,"1557 Booksin Ave, San Jose ,CA ",95125,https://www.zillow.com/homedetails/1557-Booksin-Ave-San-Jose-CA-95125/2083428799_zpid/,4,2,1783,37.28994,-121.908549,1399000
2019-07-23,"6226 Gerdts Dr, San Jose ,CA ",95135,https://www.zillow.com/homedetails/6226-Gerdts-Dr-San-Jose-CA-95135/19798294_zpid/,2,2,1704,37.284743,-121.752714,850000
2019-07-23,"18 Muirfield Ct, San Jose ,CA ",95116,https://www.zillow.com/homedetails/18-Muirfield-Ct-San-Jose-CA-95116/19724739_zpid/,2,2,1054,37.360495,-121.838392,524900
2019-07-23,"929 Alegre Pl, San Jose ,CA ",95126,https://www.zillow.com/homedetails/929-Alegre-Pl-San-Jose-CA-95126/82956935_zpid/,2,3,1667,37.347212,-121.926037,949950
2019-07-23,"1457 Revere Ave, San Jose ,CA ",95118,https://www.zillow.com/homedetails/1457-Revere-Ave-San-Jose-CA-95118/19696267_zpid/,3,2,1363,37.273379,-121.892894,1049800
2019-07-23,"2150 Almaden Rd SPC 137, San Jose ,CA ",95125,https://www.zillow.com/homedetails/2150-Almaden-Rd-SPC-137-San-Jose-CA-95125/2134377781_zpid/,1,1,576,37.295614,-121.880072,125000
2019-07-23,"3522 Pine Ridge Way, San Jose ,CA ",95127,https://www.zillow.com/homedetails/3522-Pine-Ridge-Way-San-Jose-CA-95127/19785122_zpid/,3,2,1092,37.356152,-121.801448,748888
2019-07-23,"223 Rosarno Ct, San Jose ,CA ",95111,https://www.zillow.com/homedetails/223-Rosarno-Ct-San-Jose-CA-95111/166729968_zpid/,2,3,1457,37.289878,-121.853758,780000
