address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"813 Southgrove Dr, San Jose, CA 95133",95133,550000.0,Sold 07/09/2019,1972,1838.0,CONDO,2550,393383.0,2,1.0,850,37.376803,-121.858376,https://www.zillow.com/homedetails/813-Southgrove-Dr-San-Jose-CA-95133/19571290_zpid/,Sold
"362 N 33rd St, San Jose, CA 95133",95133,799000.0,Sold 07/05/2019,1956,6455.0,SINGLE_FAMILY,3150,497541.0,3,2.0,1092,37.357303,-121.864641,https://www.zillow.com/homedetails/362-N-33rd-St-San-Jose-CA-95133/19570500_zpid/,Sold
"1705 Salamoni Ct, San Jose, CA 95133",95133,1075000.0,Sold 07/03/2019,2005,2404.0,SINGLE_FAMILY,3800,893566.0,3,3.0,2083,37.370007,-121.872244,https://www.zillow.com/homedetails/1705-Salamoni-Ct-San-Jose-CA-95133/82951905_zpid/,Sold
"2781 Glauser Dr, San Jose, CA 95133",95133,1355000.0,Sold 07/02/2019,1979,6281.0,SINGLE_FAMILY,4200,942695.0,4,3.0,2400,37.383156,-121.85032,https://www.zillow.com/homedetails/2781-Glauser-Dr-San-Jose-CA-95133/19776020_zpid/,Sold
"2379 Brushglen Way, San Jose, CA 95133",95133,900000.0,Sold 06/28/2019,1975,6181.0,SINGLE_FAMILY,3200,302470.0,3,2.0,1041,37.371256,-121.851237,https://www.zillow.com/homedetails/2379-Brushglen-Way-San-Jose-CA-95133/19572141_zpid/,Sold
"2770 Boncheff Dr, San Jose, CA 95133",95133,1385000.0,Sold 06/24/2019,1979,6080.0,SINGLE_FAMILY,4500,1083290.0,4,3.0,2756,37.381872,-121.850071,https://www.zillow.com/homedetails/2770-Boncheff-Dr-San-Jose-CA-95133/19775074_zpid/,Sold
"903 Cape Point Pl, San Jose, CA 95133",95133,1200000.0,Sold 06/21/2019,1977,7975.0,SINGLE_FAMILY,3750,423792.0,4,2.0,1843,37.374703,-121.865278,https://www.zillow.com/homedetails/903-Cape-Point-Pl-San-Jose-CA-95133/19571816_zpid/,Sold
"1786 Commodore Dr, San Jose, CA 95133",95133,1388000.0,Sold 06/20/2019,1977,7701.0,SINGLE_FAMILY,4500,287674.0,5,3.0,2533,37.372377,-121.867521,https://www.zillow.com/homedetails/1786-Commodore-Dr-San-Jose-CA-95133/19571995_zpid/,Sold
"2303 Lava Dr, San Jose, CA 95133",95133,618000.0,Sold 06/20/2019,1974,1816.0,TOWNHOUSE,3000,247710.0,3,1.0,1050,37.375548,-121.859853,https://www.zillow.com/homedetails/2303-Lava-Dr-San-Jose-CA-95133/19571217_zpid/,Sold
"2560 Heron Ct, San Jose, CA 95133",95133,840000.0,Sold 06/14/2019,2006,696.0,TOWNHOUSE,3500,746640.0,3,3.0,1400,37.382026,-121.858531,https://www.zillow.com/homedetails/2560-Heron-Ct-San-Jose-CA-95133/79843415_zpid/,Sold
