crawler date,address,postal_code,url,bedrooms,bathrooms,area,latitude,longitude,price
2019-07-29,"5883 El Zuparko Dr APT 3, San Jose ,CA ",95123,https://www.zillow.com/homedetails/5883-El-Zuparko-Dr-APT-3-San-Jose-CA-95123/19829948_zpid/,2,2,960,37.246135,-121.865097,499000
2019-07-29,"1215 Danforth Ct, San Jose ,CA ",95121,https://www.zillow.com/homedetails/1215-Danforth-Ct-San-Jose-CA-95121/19740530_zpid/,5,2,1995,37.314936,-121.834977,799000
2019-07-29,"565 Elmbrook Way, San Jose ,CA ",95111,https://www.zillow.com/homedetails/565-Elmbrook-Way-San-Jose-CA-95111/19734805_zpid/,3,2,1070,37.28117,-121.821573,775000
2019-07-29,"2663 Rosalinda Ct, San Jose ,CA ",95121,https://www.zillow.com/homedetails/2663-Rosalinda-Ct-San-Jose-CA-95121/19800817_zpid/,2,1,884,37.314205,-121.824665,459999
2019-07-29,"6153 Yeadon Way, San Jose ,CA ",95119,https://www.zillow.com/homedetails/6153-Yeadon-Way-San-Jose-CA-95119/19841732_zpid/,3,3,1497,37.237212,-121.797093,995000
2019-07-29,"307 Daisy Dr, San Jose ,CA ",95123,https://www.zillow.com/homedetails/307-Daisy-Dr-San-Jose-CA-95123/19824748_zpid/,5,4,2952,37.239943,-121.809963,1475000
2019-07-29,"270 El Bosque Dr # 270, San Jose ,CA ",95134,https://www.zillow.com/homedetails/270-El-Bosque-Dr-270-San-Jose-CA-95134/2083364737_zpid/,3,2,1550,37.412113,-121.944137,289000
2019-07-29,"6090 Terrier Ct, San Jose ,CA ",95123,https://www.zillow.com/homedetails/6090-Terrier-Ct-San-Jose-CA-95123/19822088_zpid/,4,2,1620,37.237361,-121.812193,899950
2019-07-29,"199 Coy Dr APT 1, San Jose ,CA ",95123,https://www.zillow.com/homedetails/199-Coy-Dr-APT-1-San-Jose-CA-95123/19826220_zpid/,2,1,810,37.255671,-121.822591,449000
2019-07-29,"480 Coyote Creek Cir, San Jose ,CA ",95116,https://www.zillow.com/homedetails/480-Coyote-Creek-Cir-San-Jose-CA-95116/19570003_zpid/,1,1,633,37.352037,-121.87136,388000
2019-07-29,"1808 Loch Ness Way, San Jose ,CA ",95121,https://www.zillow.com/homedetails/1808-Loch-Ness-Way-San-Jose-CA-95121/19804623_zpid/,3,2,1349,37.306061,-121.807126,790000
2019-07-29,"872 N 18th St, San Jose ,CA ",95112,https://www.zillow.com/homedetails/872-N-18th-St-San-Jose-CA-95112/19567443_zpid/,4,4,2667,37.360964,-121.885514,1325000
2019-07-29,"3653 Julio Ave, San Jose ,CA ",95124,https://www.zillow.com/homedetails/3653-Julio-Ave-San-Jose-CA-95124/19694409_zpid/,3,2,1395,37.263196,-121.909885,979000
2019-07-29,"381 Surber Dr, San Jose ,CA ",95123,https://www.zillow.com/homedetails/381-Surber-Dr-San-Jose-CA-95123/19824122_zpid/,4,2,1683,37.239826,-121.820147,1500000
2019-07-29,"150 Park Ellen Dr, San Jose ,CA ",95136,https://www.zillow.com/homedetails/150-Park-Ellen-Dr-San-Jose-CA-95136/19817949_zpid/,4,3,2124,37.267754,-121.829893,999000
2019-07-29,"5746 Cahalan Ave # 5748, San Jose ,CA ",95123,https://www.zillow.com/homedetails/5746-Cahalan-Ave-5748-San-Jose-CA-95123/2083378516_zpid/,"Studio,--ba,1,800sqft",--,1800,37.247411,-121.847315,1050000
2019-07-29,"127 W Julian St # 5WJVBJ, San Jose ,CA ",95110,https://www.zillow.com/community/sp78/2083831868_zpid/,2,3,1331+,37.339166,-121.895498,970192+
