id,address,postal_code,price,url,bedrooms,bathrooms,area,latitude,longitude
0,"1550 Technology Dr UNIT 3036, San Jose, CA 95110",95110,578000,https://www.zillow.com/homedetails/1550-Technology-Dr-UNIT-3036-San-Jose-CA-95110/69301799_zpid/,1.0,1.0,875,37.363061,-121.91443999999998
1,"4584 Bolero Dr, San Jose, CA 95111",95111,682458,https://www.zillow.com/homedetails/4584-Bolero-Dr-San-Jose-CA-95111/19813976_zpid/,3.0,2.0,1137,37.277069,-121.817079
2,"4609 Capitola Ave, San Jose, CA 95111",95111,740000,https://www.zillow.com/homedetails/4609-Capitola-Ave-San-Jose-CA-95111/19813652_zpid/,3.0,2.0,1410,37.274289,-121.818841
3,"1350 N Capitol Ave UNIT 1, San Jose, CA 95132",95132,942500,https://www.zillow.com/homedetails/1350-N-Capitol-Ave-UNIT-1-San-Jose-CA-95132/122246638_zpid/,3.0,3.0,1605,37.392511,-121.866375
4,"1534 San Andreas Ave, San Jose, CA 95118",95118,1000000,https://www.zillow.com/homedetails/1534-San-Andreas-Ave-San-Jose-CA-95118/19693490_zpid/,3.0,3.0,1690,37.271746,-121.898351
5,"1534 San Andreas Ave, San Jose, CA 95118",95118,1000000,https://www.zillow.com/homedetails/1534-San-Andreas-Ave-San-Jose-CA-95118/19693490_zpid/,3.0,3.0,1690,37.271746,-121.898351
6,"480 La Scena Pl, San Jose, CA 95128",95128,1200000,https://www.zillow.com/homedetails/480-La-Scena-Pl-San-Jose-CA-95128/122248057_zpid/,3.0,3.0,1507,37.319004,-121.944635
7,"480 La Scena Pl, San Jose, CA 95128",95128,1200000,https://www.zillow.com/homedetails/480-La-Scena-Pl-San-Jose-CA-95128/122248057_zpid/,3.0,3.0,1507,37.319004,-121.944635
8,"2575 Easton Way APT 85, San Jose, CA 95133",95133,225000,https://www.zillow.com/homedetails/2575-Easton-Way-APT-85-San-Jose-CA-95133/19573132_zpid/,2.0,2.0,975,37.37461500000001,-121.849518
9,"2701 Alvin Ave, San Jose, CA 95121",95121,374545,https://www.zillow.com/homedetails/2701-Alvin-Ave-San-Jose-CA-95121/19801119_zpid/,3.0,2.0,1298,37.314376,-121.823269
10,"2734 Mclaughlin Ave, San Jose, CA 95121",95121,730000,https://www.zillow.com/homedetails/2734-Mclaughlin-Ave-San-Jose-CA-95121/19740012_zpid/,3.0,2.0,1232,37.30841,-121.829538
11,"1987 Edgebank Dr, San Jose, CA 95122",95122,173500,https://www.zillow.com/homedetails/1987-Edgebank-Dr-San-Jose-CA-95122/19802711_zpid/,4.0,3.0,1613,37.323686,-121.819582
12,"666 Teatree Ct, San Jose, CA 95128",95128,636000,https://www.zillow.com/homedetails/666-Teatree-Ct-San-Jose-CA-95128/79842862_zpid/,2.0,2.0,922,37.315215,-121.93943
13,"666 Teatree Ct, San Jose, CA 95128",95128,636000,https://www.zillow.com/homedetails/666-Teatree-Ct-San-Jose-CA-95128/79842862_zpid/,2.0,2.0,922,37.315215,-121.93943
14,"904 Monarch Cir, San Jose, CA 95138",95138,759000,https://www.zillow.com/homedetails/904-Monarch-Cir-San-Jose-CA-95138/19811782_zpid/,2.0,2.0,1257,37.245249,-121.765727
15,"5778 Cohasset Way, San Jose, CA 95123",95123,850000,https://www.zillow.com/homedetails/5778-Cohasset-Way-San-Jose-CA-95123/19827826_zpid/,4.0,2.0,1400,37.24749,-121.808927
16,"663 Woodland Ter, San Jose, CA 95112",95112,975000,https://www.zillow.com/homedetails/663-Woodland-Ter-San-Jose-CA-95112/69303390_zpid/,4.0,3.0,1904,37.33045,-121.868894
17,"6352 Gondola Way, San Jose, CA 95120",95120,1340000,https://www.zillow.com/homedetails/6352-Gondola-Way-San-Jose-CA-95120/19763964_zpid/,4.0,3.0,2651,37.223952,-121.879695
18,"1591 Curtner Ave, San Jose, CA 95125",95125,298872,https://www.zillow.com/homedetails/1591-Curtner-Ave-San-Jose-CA-95125/19692892_zpid/,4.0,2.5,2611,37.284453000000006,-121.903653
19,"2046 Lunder Ct, San Jose, CA 95131",95131,520000,https://www.zillow.com/homedetails/2046-Lunder-Ct-San-Jose-CA-95131/19566099_zpid/,2.0,1.0,858,37.381428,-121.869514
